Country Name,Year,GDP_per_capita,Life_Expectancy,Healthcare_Spending
Norway,2009,80347.5700665184,80.7951219512195,7301.95996094
Pakistan,2009,963.788066395225,64.206,23.14643288
Singapore,2009,38926.8054365453,81.2414634146342,1326.11682129
United States,2009,47194.9433547336,78.390243902439,7614.82421875
Bangladesh,2010,757.385280361508,68.009,20.62105751
Germany,2010,42396.9665976293,79.9878048780488,4611.421875
Ethiopia,2010,330.619412798644,59.709,16.17102051
India,2010,1347.51939071367,67.162,44.79586029
Japan,2010,44968.1562349739,82.8426829268293,4071.80200195
"Korea, Rep.",2010,24071.2620526362,80.1170731707317,1413.15209961
Sri Lanka,2010,2808.36244503709,74.463,105.07371521
Nigeria,2010,2202.25672957344,51.315,73.008255
Norway,2010,88163.2085931423,80.9975609756098,7859.51611328
Pakistan,2010,987.304571124485,64.378,23.62846184
Singapore,2010,47236.683084953,81.5414634146342,1510.66784668
United States,2010,48642.6100179312,78.5414634146342,7836.08837891
Bangladesh,2011,837.336944695647,68.499,22.77348328
Germany,2011,47630.9761883572,80.4365853658537,5037.49169922
Ethiopia,2011,343.024942351887,60.595,14.62286568
India,2011,1445.46127486037,67.623,48.18242264
Japan,2011,48760.0789494211,82.5912195121951,5103.34326172
"Korea, Rep.",2011,26175.2398553363,80.5682926829269,1562.21313477
Sri Lanka,2011,3224.95745150496,74.74,115.51642609
Nigeria,2011,2418.41316975875,51.49,80.2377243
Norway,2011,101221.813476644,81.2951219512195,8900.37207031
Pakistan,2011,1131.73513834324,64.659,25.02491379
Singapore,2011,53891.4570264372,81.7439024390244,1700.1685791
United States,2011,50024.868799398,78.6414634146341,8015.78076172
Bangladesh,2012,859.680536375497,68.989,23.43771553
Germany,2012,44718.0159214069,80.5390243902439,4765.67871094
Ethiopia,2012,452.101031885754,61.443,20.00217628
India,2012,1429.32199520032,68.076,48.45263672
Japan,2012,49145.2804308193,83.0960975609756,5232.36279297
"Korea, Rep.",2012,26600.5477433903,80.819512195122,1591.78039551
Sri Lanka,2012,3327.77613691283,75.187,110.03600311
Nigeria,2012,2633.19734671361,51.688,87.89523315
Norway,2012,102175.919298374,81.4512195121951,8970.11914063
Pakistan,2012,1204.36475491585,64.883,25.59742928
Singapore,2012,55547.5553077786,81.9951219512195,1853.02429199
United States,2012,51708.4011556577,78.7414634146342,8262.29101563
Bangladesh,2013,958.262989798283,69.487,26.96918297
Germany,2013,47206.8353514242,80.490243902439,5100.15234375
Ethiopia,2013,484.039833104062,62.161,19.26698494
India,2013,1432.84397512195,68.499,55.46933746
Japan,2013,40898.6478964744,83.3319512195122,4356.15527344
"Korea, Rep.",2013,28449.3591104972,81.2707317073171,1727.56616211
Sri Lanka,2013,3739.43181100202,75.546,133.15968323
Nigeria,2013,2872.79083379398,51.827,97.29588318
Norway,2013,103553.840134417,81.7512195121951,9241.265625
Pakistan,2013,1225.4340119198,65.129,28.20998955
Singapore,2013,56967.4257940383,82.2463414634147,2102.97021484
United States,2013,53179.0127634561,78.7414634146342,8411.42871094
Bangladesh,2014,1094.46199702838,70.016,29.91152382
Germany,2014,48959.5991203133,81.090243902439,5309.15478516
Ethiopia,2014,549.986577082588,62.927,21.6064415
India,2014,1553.88396075118,68.932,56.3490181
Japan,2014,38475.3952461838,83.5878048780488,4121.21142578
"Korea, Rep.",2014,30667.0912467447,81.7219512195122,1909.91503906
Sri Lanka,2014,3972.04375736464,75.757,132.82194519
